i_idx,j_idx,i_id,j_id,arm_i,arm_j,theta_rad,theta_deg,L_nm,D_nm,P,Psecond,Pmax_over_Psecond
191,302,912,600,1,0,0.4115747735390163,23.581497477838266,9.168640432828195,9.104064369786425,0.48653391853787464,0.0,inf
19,20,20,21,0,1,0.3118159163352054,17.865735991011654,10.5788356492875,10.536030566033759,0.48313944541100684,0.0,inf
28,33,29,34,1,0,0.4557190051907878,26.110775641332594,9.139637360608186,9.060754162998213,0.473737647227842,0.0,inf
86,87,87,88,0,1,0.4148221475757461,23.767558304643245,10.712321537967478,10.635680385258098,0.4494637569319319,0.0,inf
22,23,23,24,0,1,0.6394526918522654,36.63794044141437,8.037210841092588,7.90097514857854,0.4453259606214498,0.0,inf
65,76,66,77,0,1,0.5416841458368553,31.03621538560079,9.375607048810368,9.261401455898909,0.44324740432208765,0.0,inf
18,22,19,23,0,1,0.4826870547530735,27.655931062951193,10.52538735895418,10.423506346837659,0.4345008009612107,0.0,inf
20,21,21,22,0,1,0.41235697282032563,23.62631419539546,11.464163730832006,11.383113418351614,0.43356099516091673,0.0,inf
35,36,36,37,0,1,0.1684526732669671,9.651627225893444,14.85374323336172,14.836187198351967,0.42744593596658237,0.0,inf
89,90,90,91,0,1,0.6006787915419043,34.41635959836969,10.16447512807046,10.012350561794072,0.4103980437036279,0.0,inf
2,3,3,4,0,1,0.3263449411959214,18.69818779597133,13.785164709862055,13.724073839960736,0.4077847253912946,0.0,inf
10,11,11,12,0,1,0.3263449316360618,18.698187248231722,13.78516559355011,13.724074723307,0.40778470985534643,0.0,inf
38,39,39,40,0,1,0.326345042274676,18.698193587357366,13.785165996246658,13.724075082851593,0.4077846729224677,0.0,inf
89,92,90,93,1,0,0.5576563358343852,31.951354462040324,10.883488855304165,10.743012960740412,0.4068993211412441,0.0,inf
2,7,3,8,1,0,0.7110223297933949,40.738578636720455,8.970780204374744,8.783003999212465,0.40608617672520675,0.0,inf
12,16,13,17,0,1,0.25571321186766033,14.651287805751572,14.969698355952612,14.92894595902562,0.4020105268434613,0.0,inf
37,40,38,41,1,0,0.25989480368227974,14.890875368375715,15.010609637245391,14.968399613877342,0.4001224504396757,0.0,inf
11,12,12,13,0,1,0.3264632081366212,18.704963992529354,14.39483600465619,14.330997108287841,0.3955117695793267,0.0,inf
39,40,40,41,0,1,0.32646327825644544,18.70496801009934,14.39483655002553,14.330997623851644,0.3955117411388146,0.0,inf
3,4,4,5,0,1,0.3264632570905984,18.704966797385637,14.394837394266027,14.33099847261487,0.3955117297728245,0.0,inf
31,32,32,33,0,1,0.3485321924315041,19.969423650766636,14.981576123394227,14.905862751330893,0.3787188040186083,0.0,inf
82,84,83,85,0,1,0.47853418174938267,27.41798896698589,13.46608376756271,13.337964993416868,0.37608183603935,0.0,inf
18,25,19,26,1,0,0.26985335686865897,15.461458436011803,16.871642397771573,16.82049701418037,0.3622661549969228,0.0,inf
86,91,87,92,1,0,0.8395562241250047,48.1030283063022,9.926322836374338,9.63735500763467,0.35672352603479907,0.0,inf
27,31,28,32,0,1,0.41304564313000225,23.665772097615896,15.368300126508904,15.259285576558563,0.35651889838603756,0.0,inf
37,41,38,42,0,1,0.4130456849823807,23.665774495580543,15.368300974661823,15.259286396650177,0.3565188737678032,0.0,inf
1,5,2,6,0,1,0.46035728473902493,26.37652948364843,15.029185634579568,14.896823525021972,0.3518565089411953,0.0,inf
19,24,20,25,1,0,0.4880826013613197,27.96507311176983,14.886556923797611,14.739231962053248,0.3481747114597956,0.0,inf
38,43,39,44,1,0,0.4880826301511867,27.965074761307697,14.886557346316138,14.739232363061962,0.34817469772286735,0.0,inf
10,15,11,16,1,0,0.48808268927023457,27.965078148579632,14.88655793455431,14.739232909895414,0.3481746743783593,0.0,inf
28,29,29,30,0,1,0.6397197509400707,36.65324180002623,13.557870675140364,13.327865369892992,0.3378505044119203,0.0,inf
21,25,22,26,0,1,0.47032150902146297,26.9474374811539,16.383086469719736,16.232504405188788,0.32674661193995297,0.0,inf
87,88,88,89,0,1,0.5669787326085718,32.485488452147585,15.51159685072787,15.304662062119128,0.32093081321885186,0.0,inf
5,6,6,7,0,1,0.7642436563825873,43.78793603036857,13.20270917420262,12.883743293284342,0.3176935369157396,0.0,inf
59,60,60,61,1,0,0.6964577940564821,39.9040922084279,14.46606119570369,14.175461548639253,0.31139849204329345,0.0,inf
67,68,68,69,0,1,0.9481097749089406,54.32268861738077,12.06359909750844,11.616810895653828,0.2991633947975644,0.0,inf
77,78,78,79,0,1,0.9481097827436977,54.32268906627929,12.063599856998323,11.616811619714092,0.29916338194483044,0.0,inf
9,13,10,14,0,1,0.8092272424778373,46.36530566098977,13.915305691272863,13.538717373092595,0.29791849176293517,0.0,inf
41,42,42,43,0,1,1.1051408451383864,63.319906193950445,10.196251927827147,9.685238940532434,0.29719490498984424,0.0,inf
112,242,673,135,0,1,1.1499920505191392,65.88969096834202,10.213184619117675,9.659633821280327,0.2885846250311289,0.0,inf
66,84,67,85,1,0,1.0617817433206374,60.835612656315405,12.04096730293153,11.483270168342607,0.2785940382335795,0.0,inf
17,23,18,24,1,0,1.2207994344179607,69.94665522410708,10.299935042224803,9.67214028783598,0.274670849208223,0.0,inf
70,71,71,72,0,1,0.9733879028426732,55.771018661975404,13.470449538303209,12.944919305162433,0.27439119768613707,0.0,inf
80,81,81,82,0,1,0.9733879352350633,55.77102051792264,13.470451047135473,12.94492072056708,0.27439117132722834,0.0,inf
64,396,65,1025,0,1,1.095717821826733,62.78000672793931,11.974044471136857,11.383969625188445,0.2735535574328353,0.0,inf
376,456,1129,301,1,0,0.8968282317712727,51.38447262867433,14.63994261035986,14.15423004190584,0.2717328905335457,0.0,inf
9,16,10,17,1,0,0.5940656153814434,34.03745251519875,20.06718092514707,19.77339708822684,0.25118816406020306,0.0,inf
